Mass			Cross Section
200				8.16E-02
250				3.55E-02
300				1.73E-02
350				9.48E-03
400				5.31E-03
450				3.17E-03
500				1.93E-03
550				1.27E-03
600				8.30E-04
650				5.50E-04
700				3.75E-04
750				2.66E-04
800				1.80E-04
850				1.32E-04
900				9.35E-05
950				6.81E-05
1000			4.94E-05
1050			3.66E-05
1100			2.74E-05
1150			2.02E-05
1200			1.50E-05
1250			1.12E-05
1300			8.49E-06
1350			6.30E-06
1400			4.91E-06
1450			3.80E-06
1500			2.80E-06
1550			2.10E-06
1600			1.69E-06
1650			1.29E-06
1700			1.00E-06
