mass    median Limit    1_Sigma Lower   1_Sigma Upper   2_Sigma Lower   2_Sigma Upper   
600     0.0249989       0.0162796       0.0373816       0.0154766       0.0373816       
700     0.0416611       0.0376326       0.0493639       0.0355977       0.0493639       
800     0.0756511       0.0696545       0.115252        0.0661423       0.115252        
900     0.173301        0.144558        0.239604        0.144309        0.239604        
1000    0.283478        0.270302        0.373678        0.267953        0.373678        
1100    0.613286        0.486434        1.04628         0.485426        1.04628         
1200    0.906811        0.863261        1.2807          0.854124        1.2807          
1300    1.76883         1.50086         2.34092         1.46191         2.34092         
1400    2.51294         2.46091         3.65297         2.45461         3.65297         
1500    4.27327         4.11472         5.49041         4.06256         5.49041         
